fips,state,district,party,name
0101,AL,1,Republican,Bradley Byrne
0104,AL,4,Republican,Robert Aderholt
0107,AL,7,Democratic,Terri Sewell
0403,AZ,3,Democratic,Raul Grijalva
1224,FL,24,Democratic,Frederica Wilson
1301,GA,1,Republican,Buddy Carter
1309,GA,9,Republican,Doug Collins
1310,GA,10,Republican,Jody Hice
1313,GA,13,Democratic,David Scott
1314,GA,14,Republican,Tom Graves
1703,IL,3,Democratic,Dan Lipinski
1704,IL,4,Democratic,Luis Gutierrez
1715,IL,15,Republican,John Shimkus
1716,IL,16,Republican,Adam Kinzinger
2102,KY,2,Republican,Brett Guthrie
2105,KY,5,Republican,Hal Rogers
2502,MA,2,Democratic,Jim McGovern
2505,MA,5,Democratic,Katherine Clark
2506,MA,6,Democratic,Seth Moulton
2507,MA,7,Democratic,Mike Capuano
3103,NE,3,Republican,Adrian Smith
3617,NY,17,Democratic,Nita Lowey
4001,OK,1,Republican,Jim Bridenstine
4203,PA,3,Republican,Mike Kelly
4213,PA,13,Democratic,Brendan Boyle
4218,PA,18,Republican,Tim Murphy
4808,TX,8,Republican,Kevin Brady
5111,VA,11,Democratic,Gerry Connolly
5503,WI,3,Democratic,Ron Kind
